SUMLEV,REGION,DIVISION,STATE,NAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024,POPESTIMATE2025,NPOPCHG_2020,NPOPCHG_2021,NPOPCHG_2022,NPOPCHG_2023,NPOPCHG_2024,NPOPCHG_2025,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,BIRTHS2024,BIRTHS2025,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,DEATHS2024,DEATHS2025,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,NATURALCHG2024,NATURALCHG2025,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,INTERNATIONALMIG2024,INTERNATIONALMIG2025,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,DOMESTICMIG2024,DOMESTICMIG2025,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,NETMIG2024,NETMIG2025,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,RESIDUAL2024,RESIDUAL2025,GQESTIMATESBASE2020,GQESTIMATES2020,GQESTIMATES2021,GQESTIMATES2022,GQESTIMATES2023,GQESTIMATES2024,GQESTIMATES2025,RBIRTH2021,RBIRTH2022,RBIRTH2023,RBIRTH2024,RBIRTH2025,RDEATH2021,RDEATH2022,RDEATH2023,RDEATH2024,RDEATH2025,RNATURALCHG2021,RNATURALCHG2022,RNATURALCHG2023,RNATURALCHG2024,RNATURALCHG2025,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RINTERNATIONALMIG2023,RINTERNATIONALMIG2024,RINTERNATIONALMIG2025,RDOMESTICMIG2021,RDOMESTICMIG2022,RDOMESTICMIG2023,RDOMESTICMIG2024,RDOMESTICMIG2025,RNETMIG2021,RNETMIG2022,RNETMIG2023,RNETMIG2024,RNETMIG2025
40,4,9,41,Oregon,4237282,4243544,4254691,4245964,4250392,4265324,4273586,6262,11147,-8727,4428,14932,8262,10277,39632,40461,38822,38840,38334,9543,41866,46314,43482,42526,42098,734,-2234,-5853,-4660,-3686,-3764,177,2610,6900,16833,20580,9636,5484,9670,-8946,-7370,-1736,2228,5661,12280,-2046,9463,18844,11864,-133,1101,-828,-375,-226,162,96917,95436,94281,103592,103344,104966,105802,9.3271132182,9.5195017325,9.1385059666,9.1219575665,8.9786635531,9.8528694488,10.896572088,10.23544682,9.9876510677,9.8602749063,-0.525756231,-1.377070355,-1.096940853,-0.865693501,-0.881611353,0.6142451933,1.6234043141,3.9624045885,4.8334162389,2.2569625397,2.2757666739,-2.104778985,-1.734861392,-0.407716744,0.5218464652,2.8900118672,-0.481374671,2.2275431962,4.4256994949,2.7788090049
40,1,2,42,Pennsylvania,13002753,12995576,13016628,12984655,13009406,13045848,13059432,-7177,21052,-31973,24751,36442,13584,32886,130148,131590,129053,127537,126981,40353,155831,155234,141231,137190,137689,-7467,-25683,-23644,-12178,-9653,-10708,626,10199,37147,63364,58464,26921,-3544,28598,-40586,-24570,-11252,-2936,-2918,38797,-3439,38794,47212,23985,3208,7938,-4890,-1865,-1117,307,404182,404259,431266,432673,436442,438438,437653,10.00668763,10.12180822,9.9294219553,9.7897337712,9.7283767881,11.981376126,11.940487706,10.866405215,10.530697571,10.548747227,-1.974688496,-1.818679486,-0.936983259,-0.740963799,-0.820370438,0.784170384,2.8573205407,4.8752674698,4.4876937296,2.0624946371,2.1988140644,-3.121845949,-1.890431818,-0.86370296,-0.224935339,2.9829844484,-0.264525408,2.9848356515,3.6239907698,1.8375592983
40,1,1,44,Rhode Island,1097357,1096487,1097381,1098275,1101183,1110415,1114521,-870,894,894,2908,9232,4106,2544,10025,10449,10049,9908,10021,3379,11305,11068,10543,10299,10325,-835,-1280,-619,-494,-391,-304,77,1070,6948,6846,10063,5923,-394,405,-4992,-3254,-364,-1551,-317,1475,1956,3592,9699,4372,282,699,-443,-190,-76,38,45739,45794,44893,44545,44067,44041,44018,9.1391095544,9.5178844045,9.1377057439,8.9600370411,9.0078995531,10.305998355,10.081725006,9.5869073199,9.3136275218,9.2811658403,-1.166888801,-0.563840602,-0.449201576,-0.353590481,-0.273266287,0.9754461071,6.3288602586,6.2251700192,9.1002071805,5.3241980893,0.3692109097,-4.547160393,-2.958910786,-0.329173747,-1.394197406,1.3446570167,1.7816998656,3.266259233,8.7710334337,3.9300006832
40,3,5,45,South Carolina,5118250,5131992,5194346,5288957,5390798,5490316,5570274,13742,62354,94611,101841,99518,79958,13527,55879,57655,58198,58035,59681,14085,65049,64806,59063,58560,59117,-558,-9170,-7151,-865,-525,564,337,4026,15365,21668,32760,12930,14790,68406,83341,79536,66367,66622,15127,72432,98706,101204,99127,79552,-827,-908,3056,1502,916,-158,138433,136508,135263,140130,140384,140645,140698,10.822616885,10.999395897,10.898751891,10.667106328,10.791648547,12.598657917,12.363660575,11.060740626,10.7636038,10.689664837,-1.776041032,-1.364264679,-0.161988735,-0.096497473,0.1019837097,0.7797536745,2.9313280366,4.0577709882,6.0214422898,2.3380307922,13.248840005,15.899759837,14.894723709,12.198567169,12.046735301,14.02859368,18.831087874,18.952494697,18.220009459,14.384766093
40,2,4,46,South Dakota,886656,887808,896303,909156,917739,927110,935094,1152,8495,12853,8583,9371,7984,2841,11064,11244,11183,11309,11299,2054,9872,9282,8586,8687,8694,787,1192,1962,2597,2622,2605,64,1100,2380,1361,4754,3183,298,6178,8168,4514,1930,2169,362,7278,10548,5875,6684,5352,3,25,343,111,65,27,32137,32109,31997,32129,32216,32235,32194,12.402815744,12.455558393,12.242630255,12.26008199,12.135082945,11.066576015,10.282149858,9.3995549826,9.4175729287,9.3373228712,1.3362397295,2.1734085349,2.8430752725,2.8425090617,2.7977600735,1.2331071329,2.6364486815,1.4899597404,5.1538093362,3.4185298711,6.925578061,9.0481146346,4.9417180517,2.0923121621,2.3294977349,8.1586851939,11.684563316,6.4316777921,7.2461214983,5.748027606
40,3,6,47,Tennessee,6912319,6927736,6966687,7063325,7153029,7251291,7315076,15417,38951,96638,89704,98262,63785,19280,79603,82228,83201,83396,84408,18918,89394,91620,81142,80107,80811,362,-9791,-9392,2059,3289,3597,208,3111,20127,26129,47976,17990,14728,46401,82316,60397,46496,42389,14936,49512,102443,86526,94472,60379,119,-770,3587,1119,501,-191,158024,157971,136771,146250,149197,151295,153490,11.458266385,11.721729105,11.704970205,11.579303987,11.589437504,12.867608824,13.060573291,11.415303811,11.122635432,11.095560067,-1.409342439,-1.338844186,0.2896663941,0.456668555,0.493877437,0.4478055692,2.8691351084,3.6759073388,6.6613349329,2.4700736979,6.6790826794,11.734273641,8.4968339984,6.4558410255,5.820119732,7.1268882486,14.60340875,12.172741337,13.117175958,8.2901934298
40,3,7,48,Texas,29149498,29237895,29572672,30118002,30719247,31318578,31709821,88397,334777,545330,601245,599331,391243,88105,364360,383791,390308,387626,390203,55689,269979,260655,231625,230260,232492,32416,94381,123136,158683,157366,157711,1955,43481,198371,251690,354864,167475,52502,199360,218840,188667,86067,67299,54457,242841,417211,440357,440931,234774,1524,-2445,4983,2205,1034,-1242,610003,609940,613038,610002,624449,632216,632356,12.390970487,12.859328745,12.831217927,12.49644068,12.381815378,9.1813092025,8.7335251065,7.6145783646,7.4232131768,7.377372857,3.2096612842,4.1258036389,5.2166395624,5.0732275027,5.0044425212,1.4786798434,6.6466329397,8.2742071391,11.440246334,5.3142711113,6.779733989,7.3324687203,6.2023514574,2.7746620711,2.1355135484,8.2584138323,13.97910166,14.476558597,14.214908405,7.4497846598
40,4,8,49,Utah,3271601,3283970,3339874,3393928,3449259,3502983,3538904,12369,55904,54054,55331,53724,35921,11868,45687,46261,45440,45668,46948,4967,22007,23362,21147,21529,21987,6901,23680,22899,24293,24139,24961,119,2056,18314,30456,26691,7501,4652,30249,13235,547,2867,3343,4771,32305,31549,31003,29558,10844,697,-81,-394,35,27,116,55440,55415,50861,53510,55486,56977,56618,13.794708933,13.739934735,13.280361913,13.137632436,13.333925978,6.6447820933,6.9387249581,6.1804536395,6.1933977557,6.2446330082,7.1499268401,6.8012097772,7.0999082737,6.94423468,7.0892929693,0.6207875669,5.4394233748,8.9011158105,7.6783863393,2.1303948785,9.1333672713,3.9309145116,0.1598670327,0.8247699088,0.9494614157,9.7541548382,9.3703378864,9.0609828432,8.503156248,3.0798562942
40,1,1,50,Vermont,643077,642965,647238,647614,647722,646521,644663,-112,4273,376,108,-1201,-1858,1303,5156,5409,5089,5039,4979,1555,6435,7202,6833,6871,6748,-252,-1279,-1793,-1744,-1832,-1769,21,415,1401,1185,1249,623,-52,4838,1111,782,-568,-726,-31,5253,2512,1967,681,-103,171,299,-343,-115,-50,14,24883,24894,24822,24921,24971,24983,24958,7.9925407087,8.3546227677,7.8574207773,7.7867911976,7.7123012677,9.9751744493,11.124051243,10.550158414,10.617789704,10.452421963,-1.982633741,-2.769428475,-2.692737637,-2.830998506,-2.740120695,0.6433096187,2.1639538727,1.8296411124,1.9300857721,0.9650057622,7.499595025,1.7160262331,1.2074087341,-0.877733161,-1.124549251,8.1429046437,3.8799801058,3.0370498465,1.0523526108,-0.159543489
40,3,5,51,Virginia,8631419,8637303,8660007,8681038,8732034,8819642,8880107,5884,22704,21031,50996,87608,60465,23617,94434,95761,94600,93837,92070,19727,83773,86290,79649,78487,78253,3890,10661,9471,14951,15350,13817,756,14313,38044,44282,69854,40436,-26,-3666,-26089,-8117,2461,6268,730,10647,11955,36165,72315,46704,1264,1396,-395,-120,-57,-56,236676,236570,235765,235952,237454,235715,235709,10.918923231,11.044432443,10.86540043,10.69265408,10.403537361,9.6862460117,9.9521107292,9.148184766,8.9435333697,8.8422722831,1.2326772198,1.0923217142,1.7172156642,1.7491207108,1.5612650778,1.6549394097,4.3877401852,5.0860640788,7.9598096501,4.5691043415,-0.423880939,-3.008930546,-0.932288111,0.2804290599,0.7082586312,1.2310584709,1.3788096392,4.1537759678,8.24023871,5.2773629728
40,4,9,53,Washington,7707519,7726812,7744316,7786828,7838655,7927958,8001020,19293,17504,42512,51827,89303,73062,21080,82557,83955,82165,82149,83368,15110,64741,70619,67733,65455,66138,5970,17816,13336,14432,16694,17230,669,13990,35528,55706,71161,46202,11879,-14999,-3314,-17511,1728,9238,12548,-1009,32214,38195,72889,55440,775,697,-3038,-800,-280,392,162468,162476,141213,156225,155893,156113,156821,10.672395704,10.811180426,10.516794905,10.420627436,10.467463763,8.3692669339,9.0938568337,8.6695560067,8.3029880926,8.3041109103,2.3031287699,1.7173235919,1.8472388982,2.1176393433,2.1633528529,1.8085300568,4.5750654298,7.1301475929,9.0267960532,5.8009999135,-1.938966571,-0.426755428,-2.241338716,0.2191973634,1.1598986451,-0.130436514,4.1483100021,4.8888088771,9.2459934166,6.9608985586
40,3,5,54,West Virginia,1793759,1791670,1785921,1774003,1770036,1767402,1766147,-2089,-5749,-11918,-3967,-2634,-1255,4318,17133,17115,16983,16818,16954,5860,27581,29938,25805,24758,24841,-1542,-10448,-12823,-8822,-7940,-7887,36,727,1272,1750,1109,244,-796,3028,253,3348,4312,6408,-760,3755,1525,5098,5421,6652,213,944,-620,-243,-115,-20,52050,52028,51917,52032,52120,52086,52060,9.5779534329,9.6153738114,9.5839803117,9.5085765461,9.5960180544,15.418755246,16.819460191,14.56248083,13.997701161,14.0600852,-5.840801813,-7.204086379,-4.978500519,-4.489124615,-4.464067146,0.4064187326,0.7146219975,0.9875737823,0.6270074557,0.1381047779,1.6927591779,0.1421378659,1.8893697276,2.4379225869,3.6269484306,2.0991779105,0.8567598634,2.8769435099,3.0649300426,3.7650532085
40,2,3,55,Wisconsin,5894323,5897371,5882128,5903472,5930350,5957168,5972787,3048,-15243,21344,26878,26818,15619,15536,59947,60704,60074,59434,59167,14146,61969,63557,58672,57490,58006,1390,-2022,-2853,1402,1944,1161,214,3189,19050,18553,19395,7260,67,-18299,7343,7744,5828,6984,281,-15110,26393,26297,25223,14244,1377,1889,-2196,-821,-349,214,151811,151774,126301,137997,141218,144740,144657,10.178191789,10.301384741,10.152932839,9.9993960051,9.9190650761,10.521500108,10.78553489,9.9159848779,9.6723302543,9.7244289689,-0.343308319,-0.484150149,0.2369479615,0.3270657508,0.1946361072,0.5414491737,3.2327586207,3.1355888233,3.2630865417,1.2171043395,-3.106923308,1.2460969318,1.3087910229,0.9805242776,1.1708342571,-2.565474134,4.4788555525,4.4443798462,4.2436108193,2.3879385966
40,4,8,56,Wyoming,576872,577669,579662,581742,584666,586722,588753,797,1993,2080,2924,2056,2031,1585,6131,6121,6065,6036,6070,1304,6185,6748,5701,5759,5775,281,-54,-627,364,277,295,17,134,433,816,1010,258,429,1880,2354,1776,771,1474,446,2014,2787,2592,1781,1732,70,33,-80,-32,-2,4,13293,13289,13495,13891,13820,13818,13807,10.595067444,10.540690406,10.399448563,10.305722784,10.32773985,10.688385604,11.620418046,9.7753101831,9.8327795743,9.825815096,-0.09331816,-1.07972764,0.6241383804,0.4729432093,0.5019247538,0.2315672871,0.7456492314,1.3991673582,1.7244499688,0.4389714796,3.2488544764,4.0537142975,3.0452466032,1.3163870554,2.5079223293,3.4804217635,4.799363529,4.4444139615,3.0408370241,2.9468938089
40,X,X,72,Puerto Rico,3285874,3281591,3262731,3220148,3203794,3202521,3184835,-4283,-18860,-42583,-16354,-1273,-17686,4545,18794,19704,18886,18291,17950,7300,33337,34146,35186,33989,32857,-2755,-14543,-14442,-16300,-15698,-14907,-1528,-4317,-28141,-54,14425,-2779,0,0,0,0,0,0,-1528,-4317,-28141,-54,14425,-2779,0,0,0,0,0,0,37599,37696,35258,37481,37551,37996,36494,5.7436049143,6.0787807392,5.8798787411,5.7103030369,5.6204789587,10.188068374,10.534208644,10.95464436,10.611092336,10.288138003,-4.44446346,-4.455427905,-5.074765619,-4.900789299,-4.667659044,-1.319311611,-8.681636662,-0.016812107,4.5033689414,-0.870156603,0,0,0,0,0,-1.319311611,-8.681636662,-0.016812107,4.5033689414,-0.870156603
